time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-04-02T06:18:19.720Z,19.3455,-155.2053333,7.791,5,md,39,168,,0.13,hv,hv1284200,2020-03-31T21:00:56.920Z,"11 km SSE of Volcano, Hawaii",earthquake,0.49,0.4,,,reviewed,hv,hv
2001-09-13T13:11:45.380Z,18.8428333,-155.25,11.562,4.9,md,34,273,,0.12,hv,hv5184925,2020-03-31T21:41:43.980Z,"42 km SE of Naalehu, Hawaii",earthquake,1.35,1.26,,,reviewed,hv,hv
2001-09-11T00:09:21.550Z,18.8741667,-155.259,12.562,4.7,md,38,253,,0.12,hv,hv1319344,2020-03-31T21:41:35.020Z,"40 km ESE of Naalehu, Hawaii",earthquake,1.27,1.54,,,reviewed,hv,hv
2001-08-11T08:14:17.570Z,19.2026667,-155.5796667,9.736,4.5,md,42,123,,0.12,hv,hv5180925,2022-07-12T20:54:34.803Z,"10 km W of P?hala, Hawaii",earthquake,0.37,0.55,,,reviewed,hv,hv
2000-02-18T00:19:28.760Z,19.3331667,-155.2766667,34.379,4.5,md,35,111,,0.11,hv,hv1280058,2020-03-31T21:11:22.060Z,"12 km SSW of Volcano, Hawaii",earthquake,0.68,0.86,,,reviewed,hv,hv
2001-04-26T03:37:39.350Z,19.421,-155.3018333,5.262,4.4,md,43,37,,0.11,hv,hv1313760,2020-03-31T21:39:58.380Z,"7 km WSW of Volcano, Hawaii",earthquake,0.34,0.48,,,reviewed,hv,hv
2001-09-13T18:39:54.120Z,18.8775,-155.2,9.038,4.4,md,37,254,,0.16,hv,hv5184964,2020-03-31T21:41:45.390Z,"45 km ESE of Naalehu, Hawaii",earthquake,1.45,1,,,reviewed,hv,hv
2002-01-18T11:18:14.470Z,19.3546667,-155.0798333,8.618,4.1,md,37,150,,0.12,hv,hv5199684,2020-03-31T20:40:56.980Z,"13 km SSE of Fern Forest, Hawaii",earthquake,0.49,0.38,,,reviewed,hv,hv
2000-01-28T09:33:42.200Z,19.2718333,-155.4791667,9.095,4.1,md,34,99,,0.14,hv,hv1278202,2020-03-31T19:02:31.810Z,"7 km N of P?hala, Hawaii",earthquake,0.4,0.52,,,reviewed,hv,hv
2001-04-26T04:19:24.800Z,19.4215,-155.3021667,5.162,4,md,43,37,,0.11,hv,hv1313772,2020-03-31T21:39:59.830Z,"7 km WSW of Volcano, Hawaii",earthquake,0.34,0.44,,,reviewed,hv,hv
2000-02-24T00:06:53.260Z,19.3828333,-155.2378333,1.888,4,md,28,92,,0.13,hv,hv1280428,2020-03-31T21:11:34.470Z,"6 km S of Volcano, Hawaii",earthquake,0.32,0.4,,,reviewed,hv,hv
2000-11-17T04:58:40.700Z,21.0978333,-156.1315,11.031,3.92,ml,37,288,,0.1,hv,hv1300242,2020-03-31T19:25:40.830Z,"26 km NE of Haiku-Pauwela, Hawaii",earthquake,2.18,3.25,0.16,10,reviewed,hv,hv
2000-05-30T02:11:02.790Z,19.326,-155.2245,6.862,3.9,md,33,129,,0.12,hv,hv1288523,2020-03-31T20:38:15.340Z,"12 km S of Volcano, Hawaii",earthquake,0.44,0.52,,,reviewed,hv,hv
2000-10-14T07:53:42.280Z,20.2951667,-155.4333333,37.103,3.9,ml,45,205,,0.1,hv,hv1297755,2020-03-31T19:24:15.150Z,"24 km NE of Kukuihaele, Hawaii",earthquake,0.73,1.49,0.1,8,reviewed,hv,hv
2002-08-15T18:06:49.040Z,21.4021667,-157.599,4.847,3.85,ml,37,220,,0.1,hv,hv5241216,2022-07-12T20:52:50.281Z,"Oahu region, Hawaii",earthquake,2.29,2.14,0.13,8,reviewed,hv,hv
2001-02-20T23:17:53.360Z,19.3896667,-155.247,2.339,3.8,md,37,82,,0.11,hv,hv1307572,2020-03-31T20:36:45.320Z,"6 km SSW of Volcano, Hawaii",earthquake,0.29,0.32,,,reviewed,hv,hv
2001-06-02T06:16:42.290Z,19.2583333,-155.4496667,9.813,3.8,md,40,139,,0.13,hv,hv1316210,2020-03-31T21:59:10.690Z,"6 km NNE of P?hala, Hawaii",earthquake,0.41,0.45,,,reviewed,hv,hv
2002-12-15T05:31:14.800Z,19.6403333,-156.1708333,43.384,3.77,ml,34,241,,0.09,hv,hv5264774,2020-04-21T20:24:12.576Z,"18 km W of Kailua-Kona, Hawaii",earthquake,0.91,1.28,0.15,6,reviewed,hv,hv
2000-07-16T08:24:13.590Z,19.4295,-155.2628333,12.549,3.6,md,9,202,,0.14,hv,hv1291373,2020-03-31T20:34:26.250Z,"3 km WSW of Volcano, Hawaii",earthquake,2.88,1.77,,,reviewed,hv,hv
2002-08-22T01:55:44.860Z,19.2906667,-155.2171667,9.18,3.6,md,41,156,,0.12,hv,hv5242483,2020-03-31T16:06:43.100Z,"16 km S of Volcano, Hawaii",earthquake,0.55,0.34,,,reviewed,hv,hv
2002-12-13T03:16:54.870Z,19.6335,-155.8458333,22.594,3.53,ml,38,107,,0.1,hv,hv5264521,2020-04-21T20:24:12.156Z,"10 km E of H?lualoa, Hawaii",earthquake,0.49,1.1,0.18,4,reviewed,hv,hv
2002-12-26T00:52:58.540Z,19.2336667,-155.5646667,4.344,3.52,ml,37,74,,0.12,hv,hv5266122,2020-04-21T20:24:12.961Z,"9 km WNW of P?hala, Hawaii",earthquake,0.33,0.68,0.16,2,reviewed,hv,hv
2002-08-14T07:37:27.660Z,20.5411667,-155.2751667,10.3,3.52,ml,37,237,,0.15,hv,hv5240891,2020-03-31T16:06:33.580Z,"54 km NNE of Honoka‘a, Hawaii",earthquake,1.1,2.13,0.2,11,reviewed,hv,hv
2000-05-16T08:55:19.380Z,19.7636667,-156.6565,30.864,3.42,ml,29,261,,0.1,hv,hv1287709,2020-03-31T20:37:14.370Z,"70 km W of Kailua-Kona, Hawaii",earthquake,1.12,2.2,,3,reviewed,hv,hv
2002-09-12T07:44:59.990Z,20.5361667,-155.9668333,29.134,3.42,ml,37,185,,0.14,hv,hv5246713,2020-03-31T21:00:40.990Z,"24 km S of Hana, Hawaii",earthquake,1.22,1.69,0.33,9,reviewed,hv,hv
2002-03-25T09:08:57.430Z,20.2268333,-154.7481667,5.505,3.37,ml,33,259,,0.11,hv,hv5210491,2020-03-31T21:43:46.520Z,"54 km NE of Honomu, Hawaii",earthquake,3.03,4.07,0.18,11,reviewed,hv,hv
2000-02-18T00:18:42.310Z,19.3395,-155.2661667,34.819,3.36,ml,31,148,,0.11,hv,hv1280050,2020-03-31T21:11:21.900Z,"11 km SSW of Volcano, Hawaii",earthquake,0.75,1.19,0.07,3,reviewed,hv,hv
2002-03-22T14:09:21.800Z,19.3653333,-155.4758333,8.901,3.36,ml,38,36,,0.12,hv,hv5210059,2020-03-31T21:43:43.390Z,"17 km N of P?hala, Hawaii",earthquake,0.33,0.43,,6,reviewed,hv,hv
2000-02-13T12:02:54.520Z,20.149,-155.9253333,30.271,3.35,ml,36,133,,0.11,hv,hv1279467,2020-03-31T21:10:32.110Z,"14 km SW of H?w?, Hawaii",earthquake,0.63,0.83,0.14,9,reviewed,hv,hv
2001-07-21T18:01:07.840Z,18.8923333,-155.262,11.792,3.35,ml,38,265,,0.11,hv,hv5178358,2020-03-31T21:56:03.050Z,"38 km ESE of Naalehu, Hawaii",earthquake,0.92,1.12,0.19,11,reviewed,hv,hv
2001-09-11T04:32:15.110Z,18.8123333,-155.2335,9.952,3.32,ml,36,276,,0.14,hv,hv1319345,2020-03-31T21:41:38.430Z,"46 km SE of Naalehu, Hawaii",earthquake,1.12,1.2,0.12,10,reviewed,hv,hv
2000-02-12T03:19:55.840Z,19.5733333,-156.2283333,21.467,3.32,ml,36,220,,0.1,hv,hv1279340,2020-03-31T21:10:31.060Z,"25 km WSW of Kailua-Kona, Hawaii",earthquake,1.18,1.85,0.18,4,reviewed,hv,hv
2001-09-11T13:45:40.300Z,18.8593333,-155.1566667,8.142,3.32,ml,32,259,,0.12,hv,hv5184721,2020-03-31T21:41:41.350Z,"50 km ESE of Naalehu, Hawaii",earthquake,0.92,0.66,0.12,9,reviewed,hv,hv
2001-04-16T14:18:01.560Z,19.7863333,-155.5378333,21.099,3.31,ml,45,94,,0.11,hv,hv1313016,2022-07-12T20:56:15.872Z,"29 km SSE of Waimea, Hawaii",earthquake,0.46,1.16,0.07,9,reviewed,hv,hv
2001-02-17T03:43:55.490Z,19.4913333,-155.4115,22.222,3.3,ml,47,49,,0.11,hv,hv1307212,2020-03-31T20:35:54.180Z,"19 km WNW of Volcano, Hawaii",earthquake,0.44,0.73,0.1,7,reviewed,hv,hv
2002-08-10T03:18:21.100Z,20.008,-155.3625,6.17,3.3,ml,41,150,,0.14,hv,hv5239895,2020-03-31T16:06:27.650Z,"3 km S of Pa‘auilo, Hawaii",earthquake,0.53,0.52,0.17,6,reviewed,hv,hv
2001-06-01T07:26:37.810Z,19.0803333,-155.3663333,33.606,3.29,ml,38,199,,0.1,hv,hv1316137,2020-03-31T21:54:39.730Z,"17 km SE of P?hala, Hawaii",earthquake,0.75,1.1,0.04,5,reviewed,hv,hv
2002-07-22T03:31:24.550Z,19.3063333,-155.2246667,8.7,3.29,ml,42,79,,0.12,hv,hv5235616,2020-03-31T19:15:41.880Z,"15 km S of Volcano, Hawaii",earthquake,0.42,0.35,0.09,4,reviewed,hv,hv
2001-09-08T01:07:37.160Z,19.765,-155.714,15.061,3.27,ml,39,115,,0.13,hv,hv5184378,2020-03-31T21:41:31.660Z,"20 km SSE of Waikoloa, Hawaii",earthquake,0.55,2.98,0.1,11,reviewed,hv,hv
2001-01-10T08:36:26.910Z,19.7786667,-155.3758333,24.293,3.27,ml,38,162,,0.11,hv,hv1304168,2020-03-31T20:39:40.800Z,"27 km SSW of Laup?hoehoe, Hawaii",earthquake,0.64,1.22,0.01,6,reviewed,hv,hv
2002-05-07T08:45:51.770Z,20.1708333,-155.3825,0.954,3.24,ml,35,201,,0.12,hv,hv5218397,2020-03-31T20:32:45.000Z,"13 km NE of Honoka‘a, Hawaii",earthquake,0.83,0.28,0.08,14,reviewed,hv,hv
2001-02-16T07:53:55.690Z,19.4993333,-155.4061667,21.751,3.23,ml,43,52,,0.11,hv,hv5158835,2020-03-31T20:35:53.280Z,"19 km WNW of Volcano, Hawaii",earthquake,0.42,0.67,0.08,7,reviewed,hv,hv
2001-09-04T13:07:47.580Z,19.3773333,-155.3206667,29.379,3.23,ml,45,75,,0.12,hv,hv5183931,2020-03-31T21:57:07.890Z,"11 km SW of Volcano, Hawaii",earthquake,0.47,0.66,0.06,9,reviewed,hv,hv
2000-05-08T05:22:19.690Z,19.3938333,-155.1405,40.634,3.22,ml,28,90,,0.1,hv,hv1287097,2020-03-31T20:35:05.980Z,"7 km S of Fern Forest, Hawaii",earthquake,0.8,0.7,0.09,5,reviewed,hv,hv
2001-12-09T11:40:46.270Z,21.334,-157.2393333,0.678,3.22,ml,30,214,,0.11,hv,hv5193688,2020-03-31T20:37:42.410Z,"22 km N of Maunaloa, Hawaii",earthquake,2.07,0.2,0.27,16,reviewed,hv,hv
2000-12-08T20:03:11.190Z,19.3228333,-155.2921667,34.142,3.22,ml,43,155,,0.11,hv,hv1301758,2020-03-31T19:06:20.770Z,"14 km SSW of Volcano, Hawaii",earthquake,0.57,0.7,0.12,10,reviewed,hv,hv
2001-09-11T04:43:20.230Z,18.8851667,-155.248,12.222,3.22,ml,39,251,,0.11,hv,hv5184670,2020-03-31T21:41:38.770Z,"40 km ESE of Naalehu, Hawaii",earthquake,0.82,1.12,0.14,13,reviewed,hv,hv
2002-04-22T00:25:17.270Z,19.219,-155.4426667,10.063,3.2,ml,37,132,,0.19,hv,hv5215796,2020-03-31T17:43:35.770Z,"4 km ENE of P?hala, Hawaii",earthquake,0.45,0.45,0.05,4,reviewed,hv,hv
2000-07-17T05:34:15.110Z,19.4416667,-155.3028333,7.239,3.2,md,8,185,,0.07,hv,hv1291439,2020-03-31T20:34:27.700Z,"7 km W of Volcano, Hawaii",earthquake,1.66,1.25,,,reviewed,hv,hv
2001-04-15T23:09:39.210Z,19.9515,-157.6396667,3.564,3.2,ml,38,299,,0.12,hv,hv1312973,2020-03-31T21:54:51.810Z,"122 km SW of Lanai City, Hawaii",earthquake,5.89,1.41,0.12,7,reviewed,hv,hv
2000-04-09T20:21:36.820Z,19.418,-155.2576667,10.513,3.2,md,11,172,,0.1,hv,hv1284858,2020-03-31T20:57:20.170Z,"3 km SW of Volcano, Hawaii",earthquake,1.12,1.21,,,reviewed,hv,hv
2000-06-11T02:35:12.010Z,19.3653333,-155.4793333,9.532,3.2,md,30,80,,0.12,hv,hv1289193,2020-03-31T20:39:18.690Z,"17 km N of P?hala, Hawaii",earthquake,0.44,0.5,,,reviewed,hv,hv
2001-02-19T12:00:30.580Z,19.2638333,-155.1143333,43.113,3.2,ml,40,190,,0.12,hv,hv1307477,2020-03-31T20:36:43.170Z,"22 km S of Fern Forest, Hawaii",earthquake,0.89,1.05,0.06,9,reviewed,hv,hv
2000-10-22T00:25:26.670Z,19.3533333,-155.0795,7.831,3.19,ml,35,150,,0.11,hv,hv1298257,2020-03-31T19:24:20.430Z,"13 km SSE of Fern Forest, Hawaii",earthquake,0.51,0.43,0.08,11,reviewed,hv,hv
2000-07-19T19:32:18.560Z,19.0738333,-155.4238333,49.246,3.18,ml,28,232,,0.09,hv,hv1291666,2020-03-31T20:34:33.690Z,"15 km SSE of P?hala, Hawaii",other event,1.7,2.08,,1,reviewed,hv,hv
2001-06-18T06:59:38.100Z,19.8025,-156.1611667,34.764,3.16,ml,44,196,,0.11,hv,hv1317285,2020-03-31T22:00:33.100Z,"20 km WNW of Kalaoa, Hawaii",earthquake,0.84,1.23,0.22,16,reviewed,hv,hv
2002-12-15T03:34:40.350Z,19.3311667,-155.1935,8.873,3.15,ml,29,166,,0.11,hv,hv5264757,2020-03-31T19:13:19.640Z,"13 km SSE of Volcano, Hawaii",earthquake,0.68,0.35,0.27,6,reviewed,hv,hv
2001-12-25T19:45:42.910Z,20.0531667,-156.627,5.456,3.15,ml,12,239,,0.17,hv,hv5196050,2020-03-31T20:39:45.740Z,"69 km SSW of M?kena, Hawaii",earthquake,1.56,2.5,0.19,6,reviewed,hv,hv
