Date,Day,Month,Year,Latitude,Longitude,Acres,County,AgencyCode.IncidentNumber,Source,Notes
1/1/05,1,1,2005,19.4169922,-155.8817749,0.1,Hawaii,HI1221,Hawaii Fire Dept,NA
1/1/05,1,1,2005,19.5923328,-155.057663,0.1,Hawaii,HI559,Hawaii Fire Dept,NA
1/1/05,1,1,2005,20.0139618,-155.2833862,0.1,Hawaii,HI706,Hawaii Fire Dept,NA
1/1/05,1,1,2005,20.8888016,-156.4716949,0,Maui,MA693,Maui Fire Dept,NA
1/1/05,1,1,2005,21.5769711,-158.2573242,0.1,Oahu,OA11,Honolulu Fire Dept,NA
1/3/05,3,1,2005,20.7587624,-156.2648163,0,Maui,MA1606,Maui Fire Dept,NA
1/4/05,4,1,2005,20.8702202,-156.4677429,0,Maui,MA1023,Maui Fire Dept,NA
1/4/05,4,1,2005,21.3968143,-158.1586304,0.1,Oahu,OA1933,Honolulu Fire Dept,NA
1/4/05,4,1,2005,21.3133411,-158.0091553,0.1,Oahu,OA4595,Honolulu Fire Dept,NA
1/5/05,5,1,2005,21.3981857,-158.1651764,0.5,Oahu,OA1753,Honolulu Fire Dept,NA
1/6/05,6,1,2005,21.4391937,-158.1750336,0.1,Oahu,OA1422,Honolulu Fire Dept,NA
1/7/05,7,1,2005,21.3785458,-158.1421051,0.1,Oahu,OA2382,Honolulu Fire Dept,NA
1/8/05,8,1,2005,20.0277634,-155.7078247,0.1,Hawaii,HI943,Hawaii Fire Dept,NA
1/9/05,9,1,2005,19.3989563,-154.9243927,0.1,Hawaii,HI446,Hawaii Fire Dept,NA
1/10/05,10,1,2005,21.6119537,-158.0945435,0.1,Oahu,OA2921,Honolulu Fire Dept,NA
1/10/05,10,1,2005,21.343668,-157.9135284,1,Oahu,OA5532,Honolulu Fire Dept,NA
1/11/05,11,1,2005,22.0797138,-159.3279877,0.1,Kauai,KA275,Kauai Fire Dept,NA
1/12/05,12,1,2005,21.3808327,-158.1425476,0.1,Oahu,OA2353,Honolulu Fire Dept,NA
1/12/05,12,1,2005,21.320652,-158.0681305,0.5,Oahu,OA3282,Honolulu Fire Dept,NA
1/12/05,12,1,2005,21.3489361,-157.8531494,0.1,Oahu,OA5951,Honolulu Fire Dept,NA
1/14/05,14,1,2005,19.7245998,-155.0376129,0.1,Hawaii,HI543,Hawaii Fire Dept,NA
1/16/05,16,1,2005,19.6018772,-155.963913,0.3,Hawaii,HI1302,Hawaii Fire Dept,NA
1/16/05,16,1,2005,20.8727703,-156.4755096,0,Maui,MA977,Maui Fire Dept,NA
1/16/05,16,1,2005,21.4193821,-158.1740417,0.1,Oahu,OA1528,Honolulu Fire Dept,NA
1/16/05,16,1,2005,21.4166107,-158.1734161,0.1,Oahu,OA1566,Honolulu Fire Dept,NA
1/16/05,16,1,2005,22.0763226,-159.3278046,0.1,Kauai,KA276,Kauai Fire Dept,NA
1/16/05,16,1,2005,22.1482563,-159.3092041,0.1,Kauai,KA296,Kauai Fire Dept,NA
1/19/05,19,1,2005,19.7197475,-155.0670319,0.1,Hawaii,HI569,Hawaii Fire Dept,NA
1/22/05,22,1,2005,21.3865757,-158.1467896,1,Oahu,OA2267,Honolulu Fire Dept,NA
1/22/05,22,1,2005,21.2783356,-157.7850342,1,Oahu,OA6497,Honolulu Fire Dept,NA
